uc001aak.4,NR_026818,FAM138A,0
uc001aal.1,NM_001005484,OR4F5,0
uc001abt.5,NR_027055,FAM41C,2.99988
uc001abw.2,NM_001385640,SAMD11,2.401781
uc001abz.5,NM_015658,NOC2L,31.55695
uc001aca.3,NM_198317,KLHL17,3.189899
uc001acd.4,NM_001160184,PLEKHN1,2.443115
uc001aci.3,NM_001142467,HES4,22.3438
uc001acj.5,NM_005101,ISG15,31.65093
uc001ack.3,NM_001305275,AGRN,49.21958
uc001acu.3,NM_001330306,C1orf159,6.439957
uc001acw.3,NR_029639,MIR200B,0
uc001acx.2,NR_173246,TTLL10-AS1,0.1614701
uc001add.4,NM_004195,TNFRSF18,4.139773
uc001ade.4,NM_001410709,TNFRSF4,1.586913
uc001adi.5,NM_016176,SDF4,66.98861
uc001adk.4,NM_080605,B3GALT6,6.813992
uc001adl.3,NM_001014980,C1QTNF12,0.7063898
uc001adp.4,NM_058167,UBE2J2,11.13961
uc001adt.2,NM_001130413,SCNN1D,0.7830505
uc001aeb.3,NM_030649,ACAP3,12.05351
uc001aed.4,NM_001346116,PUSL1,16.8286
uc001aee.3,NM_001256456,INTS11,28.76813
uc001aew.5,NM_001282582,MXRA8,2.038962
uc001afc.3,NM_001127229,AURKAIP1,25.89863
uc001afi.3,NM_001039577,CCNL2,81.14092
uc001afo.5,NM_001318485,MRPL20,24.85786
uc001afs.4,NM_022834,VWA1,19.44428
uc001aft.2,NM_001039211,ATAD3C,2.20804
uc001afv.4,NM_001317238,ATAD3B,10.17875
uc001aga.3,NM_001170535,ATAD3A,8.113661
uc001agd.4,NM_014188,SSU72,18.33478
uc001agg.4,NM_001170686,MIB2,12.4131
uc001aia.3,NR_173244,SLC35E2A,2.114119
uc001aid.5,NM_001198993,NADK,24.32609
uc001aih.1,NM_001330313,CALML6,0
uc001aij.3,NM_178545,TMEM52,1.824526
uc001aip.3,NM_000815,GABRD,0
uc001aiq.3,NM_001033581,PRKCZ,0.3211165
uc001aja.5,NM_003036,SKI,8.637628
uc001ajb.2,NM_001301060,MORN1,1.453624
uc001aje.3,NM_007033,RER1,9.464878
uc001ajh.4,NM_001374425,PEX10,10.03489
uc001ajm.3,NM_018216,PANK4,4.650779
uc001ajn.3,NM_001010926,HES5,0.5153872
uc001ajr.4,NM_001297605,TNFRSF14,20.42241
uc001aju.4,NM_001195736,PRXL2B,40.64326
uc001ajy.3,NM_033467,MMEL1,0.9483984
uc001ajz.4,NM_080431,ACTRT2,0
uc001akf.4,NM_022114,PRDM16,0.9448963
uc001akg.5,NM_014448,ARHGEF16,9.067673
uc001akl.4,NM_001409,MEGF6,4.813189
uc001akm.4,NM_182752,TPRG1L,16.76801
uc001ako.4,NM_017818,WRAP73,6.049403
uc001akp.4,NM_001126240,TP73,0.4782347
uc001akv.3,NM_152492,CCDC27,0.1605583
uc001akw.6,NM_001163724,SMIM1,5.24902
uc001akx.2,NM_020710,LRRC47,14.90658
uc001aky.3,NM_014704,CEP104,6.579643
uc001alc.5,NM_001282669,DFFB,1.424349
uc001alf.4,NM_207356,C1orf174,4.35557
uc001alo.5,NM_001042478,AJAP1,0
uc001alq.3,NM_001291593,NPHP4,3.85052
uc001amb.3,NM_015557,CHD5,0.1039146
uc001amd.4,NM_000983,RPL22,30.95674
uc001amg.4,NM_207396,RNF207,8.998885
uc001amk.4,NM_012405,ICMT,8.538552
uc001amp.2,NM_207370,GPR153,19.18056
uc001ams.4,NM_007274,ACOT7,15.95702
uc001amx.4,NM_019089,HES2,1.761995
uc001amy.3,NM_001367473,ESPN,1.444481
uc001anh.4,NM_001039664,TNFRSF25,1.051746
uc001anm.3,NM_001042663,PLEKHG5,2.759702
uc001ans.4,NM_024654,NOL9,6.74444
uc001ant.4,NM_138697,TAS1R1,0
uc001anx.5,NM_001278647,ZBTB48,7.917195
uc001aoa.3,NM_001324309,KLHL21,39.46416
uc001aob.5,NM_153812,PHF13,6.763605
uc001aoe.3,NM_001195752,THAP3,6.677155
uc001aof.3,NM_018198,DNAJC11,6.715007
uc001aoi.3,NM_001195563,CAMTA1,6.059319
uc001aol.3,NM_004781,VAMP3,31.80019
uc001aos.4,NM_006786,UTS2,1.076298
uc001aot.4,NM_001561,TNFRSF9,0
uc001aoz.4,NM_018948,ERRFI1,60.26119
uc001apb.3,NM_001080397,SLC45A1,0.2700327
uc001ape.4,NM_001042681,RERE,9.660145
uc001apj.3,NM_001201483,ENO1,263.7471
uc001apm.5,NM_001215,CA6,0
uc001apo.4,NM_001135585,SLC2A5,0.2843219
uc001apq.2,NM_024980,GPR157,5.055098
uc001apt.4,NM_001282587,H6PD,20.25033
uc001apw.4,NM_032315,SLC25A33,4.50207
